institution_name,category,status,revocation_date,receiver,legal_basis,source_document
GREENFIELD MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HEGIS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HERITAGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HODIDI MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HOME SUPPORT AND ALLIED MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
IDOS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
INTEGRITY CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JCF CONSUMER MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JDC MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JEFAM MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JIDAI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JW MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
